starttime	seconds	ctime	dtime	ttime	wait
Mon Sep 28 20:36:52 2015	1443452812	1	14	15	13
Mon Sep 28 20:36:52 2015	1443452812	1	14	15	13
Mon Sep 28 20:36:50 2015	1443452810	2	13	15	12
Mon Sep 28 20:36:52 2015	1443452812	1	14	15	13
Mon Sep 28 20:36:52 2015	1443452812	2	13	15	13
Mon Sep 28 20:36:52 2015	1443452812	2	13	15	12
Mon Sep 28 20:36:52 2015	1443452812	1	14	15	14
Mon Sep 28 20:36:51 2015	1443452811	1	14	15	14
Mon Sep 28 20:36:51 2015	1443452811	2	13	15	13
Mon Sep 28 20:36:51 2015	1443452811	1	14	15	14
Mon Sep 28 20:36:51 2015	1443452811	1	15	15	14
Mon Sep 28 20:36:51 2015	1443452811	1	14	15	14
Mon Sep 28 20:36:52 2015	1443452812	1	14	15	14
Mon Sep 28 20:36:52 2015	1443452812	1	14	15	14
Mon Sep 28 20:36:52 2015	1443452812	2	13	15	13
Mon Sep 28 20:36:50 2015	1443452810	1	15	15	14
Mon Sep 28 20:36:52 2015	1443452812	2	13	15	13
Mon Sep 28 20:36:51 2015	1443452811	1	14	15	14
Mon Sep 28 20:36:50 2015	1443452810	1	15	15	14
Mon Sep 28 20:36:51 2015	1443452811	2	14	15	13
Mon Sep 28 20:36:50 2015	1443452810	2	14	16	13
Mon Sep 28 20:36:50 2015	1443452810	1	15	16	14
Mon Sep 28 20:36:51 2015	1443452811	1	15	16	14
Mon Sep 28 20:36:51 2015	1443452811	1	15	16	14
Mon Sep 28 20:36:52 2015	1443452812	1	15	16	14
Mon Sep 28 20:36:52 2015	1443452812	1	15	16	14
Mon Sep 28 20:36:51 2015	1443452811	2	14	16	14
Mon Sep 28 20:36:52 2015	1443452812	2	14	16	14
Mon Sep 28 20:36:52 2015	1443452812	1	15	16	15
Mon Sep 28 20:36:50 2015	1443452810	1	15	16	15
Mon Sep 28 20:36:50 2015	1443452810	1	15	16	14
Mon Sep 28 20:36:52 2015	1443452812	1	15	16	15
Mon Sep 28 20:36:50 2015	1443452810	1	15	16	15
Mon Sep 28 20:36:50 2015	1443452810	1	16	16	15
Mon Sep 28 20:36:52 2015	1443452812	0	16	16	15
Mon Sep 28 20:36:51 2015	1443452811	1	15	16	15
Mon Sep 28 20:36:51 2015	1443452811	1	16	16	15
Mon Sep 28 20:36:51 2015	1443452811	1	15	16	15
Mon Sep 28 20:36:50 2015	1443452810	1	16	17	15
Mon Sep 28 20:36:50 2015	1443452810	1	16	17	15
Mon Sep 28 20:36:52 2015	1443452812	1	16	17	15
Mon Sep 28 20:36:52 2015	1443452812	1	16	17	15
Mon Sep 28 20:36:52 2015	1443452812	0	16	17	15
Mon Sep 28 20:36:50 2015	1443452810	0	16	17	16
Mon Sep 28 20:36:50 2015	1443452810	1	16	17	15
Mon Sep 28 20:36:52 2015	1443452812	1	16	17	15
Mon Sep 28 20:36:50 2015	1443452810	0	16	17	16
Mon Sep 28 20:36:50 2015	1443452810	0	16	17	16
Mon Sep 28 20:36:50 2015	1443452810	1	16	17	16
Mon Sep 28 20:36:50 2015	1443452810	1	16	17	16
Mon Sep 28 20:36:52 2015	1443452812	1	16	17	15
Mon Sep 28 20:36:51 2015	1443452811	1	16	17	15
Mon Sep 28 20:36:52 2015	1443452812	1	16	17	16
Mon Sep 28 20:36:52 2015	1443452812	1	16	17	15
Mon Sep 28 20:36:52 2015	1443452812	1	16	17	16
Mon Sep 28 20:36:50 2015	1443452810	1	16	17	16
Mon Sep 28 20:36:50 2015	1443452810	1	16	17	16
Mon Sep 28 20:36:51 2015	1443452811	1	16	17	16
Mon Sep 28 20:36:51 2015	1443452811	1	17	17	16
Mon Sep 28 20:36:50 2015	1443452810	1	17	17	16
Mon Sep 28 20:36:51 2015	1443452811	1	17	17	16
Mon Sep 28 20:36:50 2015	1443452810	1	17	17	16
Mon Sep 28 20:36:52 2015	1443452812	1	17	17	16
Mon Sep 28 20:36:51 2015	1443452811	1	17	17	16
Mon Sep 28 20:36:51 2015	1443452811	1	17	18	16
Mon Sep 28 20:36:51 2015	1443452811	1	17	18	16
Mon Sep 28 20:36:52 2015	1443452812	1	17	18	16
Mon Sep 28 20:36:50 2015	1443452810	2	16	18	15
Mon Sep 28 20:36:52 2015	1443452812	1	17	18	16
Mon Sep 28 20:36:52 2015	1443452812	2	16	18	15
Mon Sep 28 20:36:51 2015	1443452811	1	17	18	17
Mon Sep 28 20:36:50 2015	1443452810	1	17	18	16
Mon Sep 28 20:36:50 2015	1443452810	1	17	18	17
Mon Sep 28 20:36:52 2015	1443452812	1	17	18	17
Mon Sep 28 20:36:52 2015	1443452812	1	17	18	17
Mon Sep 28 20:36:51 2015	1443452811	1	17	18	17
Mon Sep 28 20:36:50 2015	1443452810	1	17	18	17
Mon Sep 28 20:36:51 2015	1443452811	1	17	18	17
Mon Sep 28 20:36:52 2015	1443452812	1	18	18	17
Mon Sep 28 20:36:52 2015	1443452812	1	17	18	17
Mon Sep 28 20:36:51 2015	1443452811	1	18	18	17
Mon Sep 28 20:36:50 2015	1443452810	1	18	18	17
Mon Sep 28 20:36:51 2015	1443452811	2	16	18	15
Mon Sep 28 20:36:52 2015	1443452812	1	18	18	17
Mon Sep 28 20:36:50 2015	1443452810	1	18	19	17
Mon Sep 28 20:36:52 2015	1443452812	1	18	19	17
Mon Sep 28 20:36:50 2015	1443452810	1	18	19	17
Mon Sep 28 20:36:50 2015	1443452810	1	18	19	17
Mon Sep 28 20:36:50 2015	1443452810	1	18	19	17
Mon Sep 28 20:36:52 2015	1443452812	2	17	19	16
Mon Sep 28 20:36:50 2015	1443452810	1	18	19	17
Mon Sep 28 20:36:52 2015	1443452812	1	18	19	17
Mon Sep 28 20:36:52 2015	1443452812	2	17	19	16
Mon Sep 28 20:36:50 2015	1443452810	2	17	19	17
Mon Sep 28 20:36:50 2015	1443452810	1	18	19	18
Mon Sep 28 20:36:50 2015	1443452810	1	18	19	18
Mon Sep 28 20:36:50 2015	1443452810	1	18	19	17
Mon Sep 28 20:36:50 2015	1443452810	1	18	19	18
Mon Sep 28 20:36:50 2015	1443452810	1	18	19	18
Mon Sep 28 20:36:52 2015	1443452812	2	17	19	17
Mon Sep 28 20:36:52 2015	1443452812	1	18	19	17
Mon Sep 28 20:36:50 2015	1443452810	1	18	19	18
Mon Sep 28 20:36:52 2015	1443452812	1	18	19	17
Mon Sep 28 20:36:51 2015	1443452811	1	18	19	18
Mon Sep 28 20:36:50 2015	1443452810	1	18	19	18
Mon Sep 28 20:36:52 2015	1443452812	1	18	19	18
Mon Sep 28 20:36:52 2015	1443452812	1	18	19	18
Mon Sep 28 20:36:50 2015	1443452810	1	18	19	17
