starttime	seconds	ctime	dtime	ttime	wait
Tue Sep 08 10:07:58 2015	1441687078	1	25	26	24
Tue Sep 08 10:07:55 2015	1441687075	1	26	26	25
Tue Sep 08 10:07:57 2015	1441687077	1	26	26	25
Tue Sep 08 10:07:56 2015	1441687076	2	25	26	24
Tue Sep 08 10:07:56 2015	1441687076	2	25	26	24
Tue Sep 08 10:07:56 2015	1441687076	1	26	26	25
Tue Sep 08 10:07:56 2015	1441687076	1	25	26	25
Tue Sep 08 10:07:55 2015	1441687075	1	26	26	24
Tue Sep 08 10:07:58 2015	1441687078	1	26	26	25
Tue Sep 08 10:07:58 2015	1441687078	1	25	27	25
Tue Sep 08 10:07:55 2015	1441687075	1	26	27	25
Tue Sep 08 10:07:57 2015	1441687077	2	25	27	24
Tue Sep 08 10:07:55 2015	1441687075	2	25	27	24
Tue Sep 08 10:07:58 2015	1441687078	1	26	27	25
Tue Sep 08 10:07:58 2015	1441687078	1	26	27	25
Tue Sep 08 10:07:56 2015	1441687076	1	26	27	25
Tue Sep 08 10:07:55 2015	1441687075	1	26	27	25
Tue Sep 08 10:07:55 2015	1441687075	1	26	27	26
Tue Sep 08 10:07:56 2015	1441687076	2	25	27	24
Tue Sep 08 10:07:56 2015	1441687076	1	26	27	25
Tue Sep 08 10:07:57 2015	1441687077	1	26	27	25
Tue Sep 08 10:07:58 2015	1441687078	1	26	27	25
Tue Sep 08 10:07:55 2015	1441687075	2	25	27	24
Tue Sep 08 10:07:56 2015	1441687076	1	26	27	25
Tue Sep 08 10:07:56 2015	1441687076	1	26	27	25
Tue Sep 08 10:07:58 2015	1441687078	1	26	27	25
Tue Sep 08 10:07:58 2015	1441687078	1	26	27	25
Tue Sep 08 10:07:56 2015	1441687076	1	26	27	26
Tue Sep 08 10:07:56 2015	1441687076	2	25	27	25
Tue Sep 08 10:07:58 2015	1441687078	2	25	27	25
Tue Sep 08 10:07:55 2015	1441687075	2	25	27	25
Tue Sep 08 10:07:57 2015	1441687077	1	26	27	25
Tue Sep 08 10:07:58 2015	1441687078	2	25	27	24
Tue Sep 08 10:07:55 2015	1441687075	1	26	27	25
Tue Sep 08 10:07:55 2015	1441687075	2	25	27	24
Tue Sep 08 10:07:58 2015	1441687078	1	26	27	26
Tue Sep 08 10:07:58 2015	1441687078	1	26	27	26
Tue Sep 08 10:07:56 2015	1441687076	1	26	27	26
Tue Sep 08 10:07:56 2015	1441687076	1	26	27	25
Tue Sep 08 10:07:55 2015	1441687075	3	24	27	23
Tue Sep 08 10:07:58 2015	1441687078	1	26	27	25
Tue Sep 08 10:07:57 2015	1441687077	1	26	27	25
Tue Sep 08 10:07:57 2015	1441687077	3	24	27	23
Tue Sep 08 10:07:58 2015	1441687078	1	26	27	26
Tue Sep 08 10:07:56 2015	1441687076	1	26	27	25
Tue Sep 08 10:07:57 2015	1441687077	1	26	27	26
Tue Sep 08 10:07:58 2015	1441687078	2	25	27	25
Tue Sep 08 10:07:57 2015	1441687077	0	27	27	26
Tue Sep 08 10:07:58 2015	1441687078	1	26	27	25
Tue Sep 08 10:07:56 2015	1441687076	1	26	27	25
Tue Sep 08 10:07:57 2015	1441687077	1	26	27	26
Tue Sep 08 10:07:58 2015	1441687078	3	25	27	24
Tue Sep 08 10:07:57 2015	1441687077	0	27	27	26
Tue Sep 08 10:07:57 2015	1441687077	1	27	27	26
Tue Sep 08 10:07:58 2015	1441687078	1	27	27	26
Tue Sep 08 10:07:58 2015	1441687078	1	27	27	26
Tue Sep 08 10:07:58 2015	1441687078	1	26	27	26
Tue Sep 08 10:07:57 2015	1441687077	1	27	27	26
Tue Sep 08 10:07:58 2015	1441687078	1	27	27	26
Tue Sep 08 10:07:57 2015	1441687077	0	27	27	26
Tue Sep 08 10:07:55 2015	1441687075	4	23	27	22
Tue Sep 08 10:07:56 2015	1441687076	1	26	27	25
Tue Sep 08 10:07:56 2015	1441687076	0	27	27	26
Tue Sep 08 10:07:56 2015	1441687076	3	24	27	24
Tue Sep 08 10:07:56 2015	1441687076	0	27	27	26
Tue Sep 08 10:07:55 2015	1441687075	3	24	27	24
