starttime	seconds	ctime	dtime	ttime	wait
Tue Sep 08 10:09:26 2015	1441687166	1	33	33	32
Tue Sep 08 10:09:25 2015	1441687165	1	33	33	32
Tue Sep 08 10:09:26 2015	1441687166	1	32	33	31
Tue Sep 08 10:09:26 2015	1441687166	1	33	33	32
Tue Sep 08 10:09:25 2015	1441687165	1	32	33	32
Tue Sep 08 10:09:26 2015	1441687166	1	32	34	32
Tue Sep 08 10:09:25 2015	1441687165	2	32	34	31
Tue Sep 08 10:09:27 2015	1441687167	1	33	34	32
Tue Sep 08 10:09:25 2015	1441687165	2	32	34	32
Tue Sep 08 10:09:25 2015	1441687165	3	30	34	30
Tue Sep 08 10:09:27 2015	1441687167	1	33	34	32
Tue Sep 08 10:09:26 2015	1441687166	1	33	34	33
Tue Sep 08 10:09:27 2015	1441687167	4	30	34	30
Tue Sep 08 10:09:26 2015	1441687166	3	31	34	30
Tue Sep 08 10:09:25 2015	1441687165	1	34	34	33
Tue Sep 08 10:09:27 2015	1441687167	2	32	34	31
Tue Sep 08 10:09:26 2015	1441687166	1	34	34	33
Tue Sep 08 10:09:26 2015	1441687166	1	33	34	33
Tue Sep 08 10:09:28 2015	1441687168	1	33	34	32
Tue Sep 08 10:09:25 2015	1441687165	1	34	35	33
Tue Sep 08 10:09:25 2015	1441687165	1	34	35	33
Tue Sep 08 10:09:25 2015	1441687165	1	34	35	33
Tue Sep 08 10:09:28 2015	1441687168	1	34	35	33
Tue Sep 08 10:09:27 2015	1441687167	1	34	35	34
Tue Sep 08 10:09:28 2015	1441687168	1	33	35	32
Tue Sep 08 10:09:27 2015	1441687167	1	34	35	33
Tue Sep 08 10:09:25 2015	1441687165	1	34	35	33
Tue Sep 08 10:09:28 2015	1441687168	1	34	35	33
Tue Sep 08 10:09:26 2015	1441687166	0	35	35	34
Tue Sep 08 10:09:25 2015	1441687165	1	34	35	34
Tue Sep 08 10:09:25 2015	1441687165	1	35	35	34
Tue Sep 08 10:09:27 2015	1441687167	2	33	35	33
Tue Sep 08 10:09:26 2015	1441687166	0	35	35	34
Tue Sep 08 10:09:28 2015	1441687168	1	34	35	34
Tue Sep 08 10:09:25 2015	1441687165	2	33	35	32
Tue Sep 08 10:09:25 2015	1441687165	1	35	35	34
Tue Sep 08 10:09:27 2015	1441687167	2	34	35	33
Tue Sep 08 10:09:25 2015	1441687165	0	35	35	34
Tue Sep 08 10:09:27 2015	1441687167	1	34	35	34
Tue Sep 08 10:09:26 2015	1441687166	1	35	35	34
Tue Sep 08 10:09:27 2015	1441687167	2	34	35	33
Tue Sep 08 10:09:27 2015	1441687167	2	34	35	33
Tue Sep 08 10:09:25 2015	1441687165	1	34	36	34
Tue Sep 08 10:09:27 2015	1441687167	1	34	36	34
Tue Sep 08 10:09:26 2015	1441687166	1	35	36	34
Tue Sep 08 10:09:27 2015	1441687167	3	33	36	32
Tue Sep 08 10:09:27 2015	1441687167	0	35	36	35
Tue Sep 08 10:09:26 2015	1441687166	3	33	36	32
Tue Sep 08 10:09:26 2015	1441687166	1	35	36	34
Tue Sep 08 10:09:26 2015	1441687166	1	35	36	34
Tue Sep 08 10:09:27 2015	1441687167	1	35	36	34
Tue Sep 08 10:09:26 2015	1441687166	3	33	36	33
Tue Sep 08 10:09:27 2015	1441687167	1	35	36	35
Tue Sep 08 10:09:25 2015	1441687165	1	35	36	35
Tue Sep 08 10:09:27 2015	1441687167	1	35	36	35
Tue Sep 08 10:09:25 2015	1441687165	1	35	36	35
Tue Sep 08 10:09:25 2015	1441687165	3	33	36	33
Tue Sep 08 10:09:25 2015	1441687165	2	34	36	34
Tue Sep 08 10:09:27 2015	1441687167	2	34	36	34
Tue Sep 08 10:09:25 2015	1441687165	1	35	36	34
Tue Sep 08 10:09:26 2015	1441687166	2	34	36	34
Tue Sep 08 10:09:26 2015	1441687166	1	35	36	34
Tue Sep 08 10:09:27 2015	1441687167	1	35	36	34
Tue Sep 08 10:09:28 2015	1441687168	1	35	36	35
Tue Sep 08 10:09:27 2015	1441687167	1	35	36	35
Tue Sep 08 10:09:25 2015	1441687165	1	36	36	35
Tue Sep 08 10:09:27 2015	1441687167	1	36	36	35
Tue Sep 08 10:09:25 2015	1441687165	4	33	36	32
Tue Sep 08 10:09:27 2015	1441687167	1	36	36	35
Tue Sep 08 10:09:27 2015	1441687167	1	35	36	35
Tue Sep 08 10:09:25 2015	1441687165	1	35	36	35
Tue Sep 08 10:09:28 2015	1441687168	1	36	36	35
Tue Sep 08 10:09:28 2015	1441687168	1	36	36	35
Tue Sep 08 10:09:27 2015	1441687167	1	36	36	35
Tue Sep 08 10:09:27 2015	1441687167	1	35	36	35
